student_name,gender,region,register_no,birth_date,age,teacher_id,student_code,3,2,3.1,1,2.1,1.1,1.2,2.2,3.2,2.3,total_courses,total_credits
Бат,Эм,Орхон,ЕМ60043673,1990-09-12,35,1,B214180086,1,0,0,0,0,1,0,0,1,1,4,9
Болд,Эр,Баян-Өлгий,ХЦ12859981,1997-03-12,28,3,M244810070,0,1,0,0,1,0,1,0,0,1,4,7
Саруул,Эм,Дорнод,ЖП24492572,2000-05-12,25,5,M147320046,1,1,1,1,0,0,1,1,1,0,7,15
Энхбат,Эм,Дундговь,ИБ41184793,2004-08-26,21,8,M143990081,0,0,1,0,1,1,0,0,0,1,4,8
Ганболд,Эр,Говь-Алтай,НЛ53169274,2002-04-05,23,5,B103220032,1,1,1,1,0,1,0,0,0,1,6,12
Баяр,Эр,Орхон,ГЦ00841839,2000-12-10,24,1,B197770018,0,0,0,0,0,0,1,1,0,0,2,3
Мөнх,Эр,Улаанбаатар - Баянзүрх,ПЖ62041621,1999-06-29,26,1,M248890025,0,1,0,0,1,0,0,1,1,1,5,11
Од,Эм,Орхон,РЖ51213466,1992-06-08,33,8,M135840037,1,0,1,0,1,0,1,0,1,1,6,14
Амгалан,Эм,Төв,ЙП91331750,2006-03-15,19,4,B163590003,1,0,0,1,1,1,0,0,0,1,5,9
Номин,Эм,Булган,ГК27632871,1999-05-10,26,6,B188350088,0,1,1,0,0,0,1,1,0,1,5,10
Цэнгэл,Эр,Улаанбаатар - Баянзүрх,РЕ72096129,2002-07-21,23,1,B185520055,1,0,1,0,1,0,0,0,0,0,3,8
Хулан,Эр,Архангай,ШЙ30084028,1990-11-11,34,8,M113780006,1,0,1,1,1,0,0,0,1,0,5,12
Энхтуяа,Эм,Увс,ЭР44802064,1995-01-24,30,2,B187250007,1,0,1,0,0,1,1,1,0,1,6,12
Сүхбат,Эм,Увс,ЙР48409059,1998-02-22,27,6,B142870036,1,0,0,1,1,0,1,0,0,1,5,9
Ариун,Эм,Өмнөговь,СВ05691056,2005-10-31,19,6,M153840038,0,1,1,1,0,0,1,0,0,0,4,7
Цэрэн,Эм,Дархан-Уул,РГ09356539,1996-08-02,29,4,M148450036,1,1,1,0,1,0,0,1,1,0,6,15
Бадам,Эр,Өмнөговь,ЦБ92848766,2004-06-04,21,5,M148180073,1,0,1,0,0,1,0,0,1,1,5,12
Тэмүүжин,Эр,Орхон,ГТ64156559,2003-08-23,22,2,B154210035,1,0,0,0,1,1,1,0,0,1,5,9
Дөлгөөн,Эр,Дорнод,ФЕ10652542,1991-01-15,34,3,M151320057,0,0,1,1,1,1,1,0,1,0,6,11
Урангоо,Эм,Говьсүмбэр,АЦ98915002,1992-08-31,33,3,M228510079,1,1,1,0,0,0,0,0,0,0,3,8
Гэрэл,Эр,Дундговь,ШЕ07521136,1994-10-08,30,6,M157860083,0,1,0,1,1,0,1,0,0,1,5,8
Хулан,Эм,Баянхонгор,ХУ55493325,2002-03-15,23,2,B204480057,0,0,0,0,1,0,1,1,0,1,4,7
Мөнхтөр,Эр,Орхон,НВ85755452,1992-12-19,32,3,M108410060,1,1,1,1,0,1,0,1,0,0,6,12
Баярмаа,Эр,Булган,БУ36355286,1998-10-24,26,2,B248760043,0,1,0,0,1,0,0,0,0,0,2,4
Энхцэцэг,Эм,Архангай,РВ56973123,1994-03-05,31,3,B177260038,1,0,0,0,1,1,1,1,0,1,6,11
Содном,Эм,Булган,ЮД96394216,1997-08-22,28,4,B226840060,0,1,1,0,0,1,1,1,1,1,7,14
